page,titre,adresse,nom,statut,fichier,candidats
1087,Communiqué de la fédération Education & Recherche CNT-SO sur la réouverture des établissements,/13/communique-de-la-federation-education-recherche-cnt-so-sur-la-reouverture-des-etablissements/,cnt_so_educ_com_30_04_2020.pdf,exact,sites/2/2020/05/cnt_so_educ_com_30_04_2020.pdf,sites/2/2020/05/cnt_so_educ_com_30_04_2020.pdf
1088,COVID-19 : exercer son droit de retrait dans l’Education,/13/covid-19-exercer-son-droit-de-retrait-dans-leducation/,cnt_so_educ_se_defendre_covid19.pdf,exact,2020/05/cnt_so_educ_se_defendre_covid19.pdf,2020/05/cnt_so_educ_se_defendre_covid19.pdf | sites/2/2020/05/cnt_so_educ_se_defendre_covid19.pdf
1118,"LOI SUR L’ÉTAT D’URGENCE SANITAIRE : pendant la « guerre sanitaire », la guerre sociale continue !",/13/loi-sur-letat-durgence-sanitaire-pendant-la-guerre-sanitaire-la-guerre-sociale-continue/,cnt_so_loi_etat_urgence_sanitaire.pdf,exact,2020/03/cnt_so_loi_etat_urgence_sanitaire.pdf,2020/03/cnt_so_loi_etat_urgence_sanitaire.pdf | sites/2/2020/03/cnt_so_loi_etat_urgence_sanitaire.pdf
1133,"Dans la restauration, en 2020 on s’organise !",/13/dans-la-restauration-en-2020-on-sorganise/,cnt_so_restauration_2020,exact,sites/2/2020/03/cnt_so_restauration_2020.pdf,sites/2/2020/03/cnt_so_restauration_2020.pdf
1145,Les retraites Macron c’est toujours NON ! Grève générale le 24 janvier !,/13/les-retraites-macron-cest-toujours-non-greve-generale-le-24-janvier/,cnt_so_retraites_21_janvier_2020,exact,2020/01/cnt_so_retraites_21_janvier_2020.pdf,2020/01/cnt_so_retraites_21_janvier_2020.pdf | sites/2/2020/01/cnt_so_retraites_21_janvier_2020.pdf
1146,Mercredi 22 janvier 2020 :  Occupation festive et revendicative devant le Rectorat (Aix),/13/mercredi-22-janvier-2020-occupation-festive-et-revendicative-devant-le-rectorat-aix/,appel_occupation_place_lucien_paye_mercredi_22_janvier_2020,introuvable,,
1150,Education : les E3C ça sera sans nous !,/13/education-les-e3c-ca-sera-sans-nous/,appel_acad_e3c,introuvable,,
1150,Education : les E3C ça sera sans nous !,/13/education-les-e3c-ca-sera-sans-nous/,cnt_so_e3c_janvier_2020,exact,sites/2/2020/01/cnt_so_e3c_janvier_2020.pdf,sites/2/2020/01/cnt_so_e3c_janvier_2020.pdf
1151,"Avec ou sans âge pivot, la retraite à points on n'en veux pas : retrait du projet Macron/philippe !",/13/avec-ou-sans-age-pivot-la-retraite-a-points-on-nen-veux-pas-retrait-du-projet-macron-philippe/,Retraite_13janv,introuvable,,
1154,"Alors On Reste : Samedi 11 janvier, après la manif, occupation festive de la porte d'Aix",/13/alors-on-reste-samedi-11-janvier-apres-la-manif-occupation-festive-de-la-porte-daix/,alorsonreste_nb-ud,exact,sites/2/2020/01/alorsonreste_nb-ud.pdf,sites/2/2020/01/alorsonreste_nb-ud.pdf
